State,Agency type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,New Milford,1,0,0,0,0,0,0,0,1,0,"26,956"
,,Norwalk,1,1,0,0,0,0,0,0,0,2,"89,442"
,,Norwich,6,0,0,0,1,0,2,0,4,1,"39,318"
,,Old Saybrook,5,0,0,0,0,0,2,2,0,1,"10,117"
,,Orange,1,0,0,0,0,0,0,0,0,1,"14,002"
,,Putnam,1,0,0,0,0,0,0,1,0,0,"9,325"
,,Ridgefield,1,0,0,0,0,0,0,1,0,0,"25,260"
,,Rocky Hill,1,1,0,0,0,0,0,1,0,1,"20,163"
,,Southington,1,0,1,0,0,0,0,0,2,0,"43,960"
,,South Windsor,0,0,1,0,0,0,0,1,0,0,"25,968"
,,Stamford,4,2,2,0,0,0,1,1,2,4,"132,007"
,,Stratford,1,0,0,0,0,0,0,1,0,0,"52,472"
,,Torrington,2,0,1,0,0,0,1,0,0,2,"34,286"
,,Trumbull,0,1,0,0,0,0,0,0,0,1,"36,167"
,,Vernon,0,0,1,0,0,0,0,0,0,1,"29,304"
,,Waterbury,2,0,0,0,0,0,0,2,0,0,"108,378"
,,Willimantic,0,0,1,0,0,0,0,1,0,0,"17,691"
,,Windsor,1,0,0,0,0,0,0,1,0,0,"28,867"
,,Woodbridge,1,0,0,0,0,0,0,1,0,0,"8,832"
,Universities and Colleges,,1,0,0,0,0,0,,,,,
,,Southern Connecticut State University,1,0,0,0,0,0,0,0,1,0,"11,978"
,State Police Agencies,,1,3,3,0,0,0,,,,,
,,Connecticut State Police,1,3,3,0,0,0,4,0,2,1,
,Tribal Agencies,,1,0,0,0,0,0,,,,,
,,Mashantucket Pequot Tribal,1,0,0,0,0,0,0,0,1,0,
Delaware,Total,,13,1,2,0,0,0,,,,,
,Cities,,5,0,0,0,0,0,,,,,
,,Dover,1,0,0,0,0,0,0,1,0,0,"37,778"
,,Felton,1,0,0,0,0,0,0,0,1,0,"1,414"
,,Newark,1,0,0,0,0,0,0,1,0,0,"34,207"
,,Seaford,1,0,0,0,0,0,1,0,0,0,"7,876"
,,Wilmington,1,0,0,0,0,0,0,1,0,0,"71,157"
,Universities and Colleges,,4,0,0,0,0,0,,,,,
,,Delaware State University,1,0,0,0,0,0,1,0,0,0,"5,162"
,,University of Delaware,3,0,0,0,0,0,1,0,1,1,"24,855"
,Metropolitan Counties,,3,0,2,0,0,0,,,,,
,,New Castle County Police Department,3,0,2,0,0,0,1,2,0,2,
,State Police Agencies,,1,1,0,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Kent County,1,0,0,0,0,0,0,0,0,1,
,,New Castle County,0,1,0,0,0,0,1,0,0,0,
District of Columbia,Total,,99,12,68,0,1,33,,,,,
,Cities,,88,12,60,0,1,33,,,,,
,,Washington,88,12,60,0,1,33,32,49,58,55,"702,455"
,Other Agencies,,11,0,8,0,0,0,,,,,
,,Metro Transit Police,11,0,8,0,0,0,2,5,6,6,
Florida,Total,,71,29,35,1,0,5,,,,,
,Cities,,39,22,26,0,0,4,,,,,
,,Boca Raton,1,1,0,0,0,0,2,0,0,0,"100,162"
,,Cape Coral,1,0,0,0,0,0,0,0,0,1,"187,869"
,,Coral Gables,0,1,0,0,0,0,0,1,0,0,"51,716"
,,Davie,2,1,0,0,0,0,0,2,1,,"107,120"
,,Deerfield Beach,0,1,1,0,0,0,,1,0,1,"81,371"
,,Fort Lauderdale,3,0,2,0,0,0,0,5,0,0,"182,150"
,,Fort Myers,0,0,1,0,0,0,0,1,0,0,"82,805"
,,Gainesville,1,2,0,0,0,0,1,0,1,1,"133,400"
,,Groveland,1,0,0,0,0,0,0,0,,1,"14,342"
,,Jacksonville,4,0,0,0,0,0,1,1,2,0,"903,213"
,,Key West,0,0,1,0,0,0,0,0,1,0,"25,286"
,,Largo,1,0,0,0,0,0,0,0,0,1,"85,568"
,,Lauderdale Lakes,3,0,0,0,0,0,1,0,1,1,"36,575"
,,Miami,3,1,4,0,0,2,3,1,3,3,"473,047"
,,Miami Beach,1,11,7,0,0,1,5,4,7,4,"92,928"
,,Minneola,1,0,0,0,0,0,1,0,0,0,"11,859"
,,North Miami,0,0,1,0,0,0,1,0,0,0,"62,585"
,,Ocala,1,0,0,0,0,0,0,1,0,0,"59,505"
,,Orlando,2,0,2,0,0,0,1,0,2,1,"286,679"
,,Palm Bay,6,0,0,0,0,0,1,0,3,2,"112,902"
,,Parkland,0,1,0,0,0,0,0,0,1,0,"33,760"
,,Pembroke Pines,0,1,0,0,0,0,0,1,0,0,"173,053"
,,Pompano Beach,0,0,2,0,0,1,0,0,3,0,"112,045"
,,Port St. Lucie,1,0,2,0,0,0,0,0,0,3,"193,137"
,,Sebastian,0,0,1,0,0,0,0,0,0,1,"25,672"
,,Sunrise,2,0,0,0,0,0,0,1,1,0,"95,812"
,,Tallahassee,1,0,0,0,0,0,0,1,0,0,"192,443"
,,Tampa,1,1,0,0,0,0,0,0,0,2,"392,945"
,,Temple Terrace,2,0,0,0,0,0,1,0,1,0,"26,777"
,,Weston,0,1,0,0,0,0,0,0,1,0,"71,744"
,,West Palm Beach,1,0,1,0,0,0,0,0,2,0,"111,659"
,,Wilton Manors,0,0,1,0,0,0,0,0,1,0,"12,941"
,Universities and Colleges,,3,0,0,0,0,0,,,,,
,,Pensacola State College,3,0,0,0,0,0,2,0,1,0,"13,602"
,Metropolitan Counties,,29,7,9,1,0,1,,,,,
,,Alachua,0,0,0,0,0,1,0,0,1,0,
,,Bay,0,0,1,0,0,0,0,1,0,0,
,,Brevard,1,0,0,0,0,0,0,1,0,0,
,,Broward,3,0,0,0,0,0,0,0,2,1,
