,State,Year,Population,GDP,Incidents,Temperature,Marriage_Rate,Education_Rate,Is_Covid
289,West Virginia,2011,1856606,70361.3,18,53.5,7.2,26.5,0
290,Wisconsin,2011,5705840,272813.2,76,44.1,5.3,18.5,0
291,Wyoming,2011,567491,39767.9,2,41.1,7.8,24.7,0
292,Alabama,2012,4816632,189245.5,6,64.9,8.2,28.0,0
293,Alaska,2012,730810,58283.6,6,24.3,7.2,23.3,0
294,Arizona,2012,6556344,271440.0,176,62.1,5.6,21.0,0
295,Arkansas,2012,2952876,108492.1,30,63.6,10.9,27.3,0
296,California,2012,37944551,2113096.4,910,59.5,6.0,30.9,0
297,Colorado,2012,5193660,276823.1,189,48.3,6.8,37.5,0
298,Connecticut,2012,3595211,240911.9,149,52.5,5.2,37.1,0
299,Delaware,2012,915518,62354.6,10,58.5,5.8,29.5,0
300,Florida,2012,19302016,778545.0,144,71.9,7.2,26.8,0
301,Georgia,2012,9903580,447764.7,21,65.5,6.5,28.2,0
302,Idaho,2012,1595910,58323.9,35,45.1,8.2,26.3,0
303,Illinois,2012,12883029,726399.1,84,55.8,5.8,25.5,0
304,Indiana,2012,6538989,300513.9,37,55.1,6.7,31.6,0
305,Iowa,2012,3076844,158538.4,8,52.1,6.8,23.4,0
306,Kansas,2012,2886024,141818.2,81,58.2,6.3,30.4,0
307,Kentucky,2012,4387865,178143.7,194,58.4,7.2,21.8,0
308,Louisiana,2012,4602067,235384.7,4,68.7,5.7,22.0,0
309,Maine,2012,1328094,53679.7,52,43.9,7.3,39.3,0
310,Maryland,2012,5888375,332523.5,35,57.5,5.6,36.9,0
311,Massachusetts,2012,6664269,442916.9,157,51.3,5.5,28.0,0
312,Michigan,2012,9898289,422691.2,617,48.4,5.6,26.0,0
313,Minnesota,2012,5377500,298328.3,72,45.2,5.6,33.2,0
314,Mississippi,2012,2984599,100448.4,18,65.7,5.8,26.4,0
315,Missouri,2012,6026027,271535.1,104,58.5,6.5,20.7,0
316,Montana,2012,1004168,42340.9,36,44.5,7.8,29.4,0
317,Nebraska,2012,1853691,102725.9,9,52.7,6.7,27.4,0
318,Nevada,2012,2744670,129312.9,91,52.4,35.1,27.9,0
319,New Hampshire,2012,1324677,68498.1,29,46.6,6.8,29.0,0
320,New Mexico,2012,2087715,87925.2,2,56.0,6.9,36.2,0
321,New York,2012,19574362,1328233.5,715,48.8,7.0,26.1,0
322,North Carolina,2012,9751810,445095.3,119,60.7,6.6,22.4,0
323,North Dakota,2012,702227,51832.6,41,44.1,6.6,33.4,0
324,Ohio,2012,11550971,545740.1,257,54.0,5.8,25.2,0
325,Oklahoma,2012,3819320,174874.4,21,63.2,6.9,23.8,0
326,Oregon,2012,3900102,174611.0,52,48.0,6.6,29.9,0
327,Pennsylvania,2012,12769123,647925.9,38,51.8,5.5,27.8,0
328,Rhode Island,2012,1054893,51583.0,12,52.9,6.1,31.4,0
329,South Carolina,2012,4719027,177618.1,148,64.5,7.4,25.1,0
330,South Dakota,2012,833859,43901.5,29,49.3,7.5,26.3,0
331,Tennessee,2012,6455752,286341.5,316,60.3,8.8,24.3,0
332,Texas,2012,26084120,1421180.1,52,67.8,7.3,26.7,0
333,Utah,2012,2854146,129512.5,102,50.9,8.4,30.7,0
334,Vermont,2012,626361,29241.3,12,45.8,8.2,35.5,0
335,Virginia,2012,8187456,445973.6,134,57.6,6.8,35.8,0
336,Washington,2012,6898599,400530.6,272,47.1,6.3,31.7,0
337,West Virginia,2012,1857446,70322.2,27,54.3,7.0,27.1,0
338,Wisconsin,2012,5720825,277107.1,68,47.4,5.4,18.6,0
339,Wyoming,2012,576656,38855.4,2,44.8,7.6,24.7,0
340,Alabama,2013,4831586,191369.8,6,62.6,7.8,28.0,0
341,Alaska,2013,737626,55354.3,8,27.8,7.3,23.5,0
342,Arizona,2013,6634690,273481.9,155,60.4,5.4,20.6,0
343,Arkansas,2013,2960459,110752.4,27,59.6,9.8,27.4,0
344,California,2013,38253768,2179229.0,843,59.3,6.5,31.0,0
345,Colorado,2013,5270774,286259.1,128,45.1,6.5,37.8,0
346,Connecticut,2013,3595792,236050.6,145,49.8,5.0,37.2,0
347,Delaware,2013,924062,60235.8,12,55.8,6.6,29.8,0
348,Florida,2013,19551678,794842.1,76,71.7,7.0,27.2,0
349,Georgia,2013,9975592,454908.9,57,63.4,5.641677366639442,28.3,0
350,Idaho,2013,1612053,60631.2,32,43.7,8.2,26.4,0
351,Illinois,2013,12895778,726125.0,105,51.1,5.4,26.2,0
352,Indiana,2013,6570575,307279.1,75,51.2,6.6,32.1,0
353,Iowa,2013,3093935,158480.8,10,46.7,7.4,23.8,0
354,Kansas,2013,2894306,141723.4,64,53.7,6.0,31.1,0
355,Kentucky,2013,4406906,181505.9,171,55.0,7.3,22.6,0
356,Louisiana,2013,4626040,228452.8,22,66.2,6.4,22.5,0
357,Maine,2013,1328543,53239.1,25,42.0,8.3,40.3,0
358,Maryland,2013,5925197,334268.9,51,54.7,6.8,37.4,0
359,Massachusetts,2013,6715158,444874.0,350,48.8,5.5,28.2,0
360,Michigan,2013,9914802,428737.6,329,44.1,5.8,26.9,0
361,Minnesota,2013,5414722,305486.4,144,39.3,6.0,33.5,0
362,Mississippi,2013,2989839,100331.2,4,63.1,6.7,27.0,0
363,Missouri,2013,6042989,274599.3,102,53.6,6.4,20.4,0
364,Montana,2013,1014158,42968.2,31,42.4,7.4,29.0,0
365,Nebraska,2013,1865813,104680.0,36,48.5,6.3,28.4,0
366,Nevada,2013,2776956,129720.9,73,50.5,32.3,27.1,0
367,New Hampshire,2013,1327272,69080.3,21,44.2,6.9,29.4,0
368,New Jersey,2013,8857821,523725.8,414,53.2,5.1,34.6,0
369,New Mexico,2013,2092833,86856.6,12,53.7,7.3,36.6,0
370,New York,2013,19626488,1329376.3,615,45.7,6.9,26.4,0
371,North Carolina,2013,9846717,452056.2,118,58.6,6.5,22.5,0
372,North Dakota,2013,723149,52892.4,51,38.8,6.3,34.1,0
373,Ohio,2013,11579692,556210.5,370,50.9,5.7,26.1,0
374,Oklahoma,2013,3853891,177698.9,41,58.8,7.1,23.8,0
375,Oregon,2013,3924110,175933.8,66,47.6,6.3,30.7,0
376,Pennsylvania,2013,12779538,655929.2,64,49.0,5.4,28.7,0
377,Rhode Island,2013,1055560,51910.8,7,50.6,6.2,32.4,0
378,South Carolina,2013,4766469,180881.6,51,62.3,7.1,26.1,0
379,South Dakota,2013,842751,44147.4,13,44.0,7.0,26.6,0
380,Tennessee,2013,6496943,289794.6,196,57.1,8.4,24.8,0
381,Texas,2013,26479646,1484700.1,132,65.1,7.0,27.5,0
382,Utah,2013,2898773,133112.9,74,47.8,7.5,31.3,0
383,Vermont,2013,626603,28681.5,12,43.2,9.2,36.1,0
384,Virginia,2013,8255861,449063.8,119,55.1,6.7,35.7,0
385,Washington,2013,6966252,410873.9,291,47.2,7.1,32.7,0
386,West Virginia,2013,1854768,70550.1,56,51.8,6.6,27.7,0
387,Wisconsin,2013,5738012,278015.0,50,41.8,5.2,18.9,0
388,Wyoming,2013,582620,38849.6,1,41.7,7.5,26.6,0
