,State,Year,GDP
632,Maryland,2010,325369.7
633,Massachusetts,2010,425792.7
634,Michigan,2010,404216.9
635,Minnesota,2010,287140.1
636,Mississippi,2010,98601.1
637,Missouri,2010,270732.9
638,Montana,2010,40793.7
639,Nebraska,2010,97466.1
640,Nevada,2010,129828.4
641,New Hampshire,2010,67125.8
642,New Jersey,2010,513917.9
643,New Mexico,2010,87610.3
644,New York,2010,1277466.8
645,North Carolina,2010,437836.5
646,North Dakota,2010,37917.2
647,Ohio,2010,523979.4
648,Oklahoma,2010,160564.2
649,Oregon,2010,169234.0
650,Pennsylvania,2010,627726.3
651,Rhode Island,2010,51332.8
652,South Carolina,2010,172131.0
653,South Dakota,2010,40369.6
654,Tennessee,2010,268449.8
655,Texas,2010,1309962.4
656,Utah,2010,123902.2
657,Vermont,2010,28403.7
658,Virginia,2010,441242.4
659,Washington,2010,380989.5
660,West Virginia,2010,69153.5
661,Wisconsin,2010,266830.8
662,Wyoming,2010,40056.6
663,Alabama,2011,187605.8
664,Alaska,2011,55280.3
665,Arizona,2011,266101.5
666,Arkansas,2011,107932.5
667,California,2011,2063827.5
668,Colorado,2011,271700.6
669,Connecticut,2011,238542.4
670,Delaware,2011,62919.3
671,District of Columbia,2011,111646.5
672,Florida,2011,772021.3
673,Georgia,2011,441626.7
674,Hawaii,2011,70646.6
675,Idaho,2011,58226.2
676,Illinois,2011,711283.4
677,Indiana,2011,299064.5
678,Iowa,2011,152435.2
679,Kansas,2011,139579.4
680,Kentucky,2011,175745.3
681,Louisiana,2011,234975.7
682,Maine,2011,53789.0
683,Maryland,2011,332437.2
684,Massachusetts,2011,434494.5
685,Michigan,2011,414834.4
686,Minnesota,2011,293783.2
687,Mississippi,2011,98515.8
688,Missouri,2011,268533.8
689,Montana,2011,41875.7
690,Nebraska,2011,102587.4
691,Nevada,2011,130697.9
692,New Hampshire,2011,67559.1
693,New Jersey,2011,507604.0
694,New Mexico,2011,87592.9
695,New York,2011,1279527.1
696,North Carolina,2011,443288.7
697,North Dakota,2011,42340.8
698,Ohio,2011,541180.2
699,Oklahoma,2011,166327.2
700,Oregon,2011,173831.7
701,Pennsylvania,2011,637114.0
702,Rhode Island,2011,51279.6
703,South Carolina,2011,176083.2
704,South Dakota,2011,43049.5
705,Tennessee,2011,276898.3
706,Texas,2011,1353600.4
707,Utah,2011,127992.5
708,Vermont,2011,29013.5
709,Virginia,2011,444288.0
710,Washington,2011,387745.2
711,West Virginia,2011,70361.3
712,Wisconsin,2011,272813.2
713,Wyoming,2011,39767.9
714,Alabama,2012,189245.5
715,Alaska,2012,58283.6
716,Arizona,2012,271440.0
717,Arkansas,2012,108492.1
718,California,2012,2113096.4
719,Colorado,2012,276823.1
720,Connecticut,2012,240911.9
721,Delaware,2012,62354.6
722,District of Columbia,2012,112157.0
723,Florida,2012,778545.0
724,Georgia,2012,447764.7
725,Hawaii,2012,71905.3
726,Idaho,2012,58323.9
727,Illinois,2012,726399.1
728,Indiana,2012,300513.9
729,Iowa,2012,158538.4
730,Kansas,2012,141818.2
731,Kentucky,2012,178143.7
732,Louisiana,2012,235384.7
